zone_id,pixel_count,area_m2,area_ha
1129,1,400,0.04
1130,1,400,0.04
1131,1,400,0.04
1132,2,800,0.08
1133,1,400,0.04
1134,1,400,0.04
1135,1,400,0.04
1136,2,800,0.08
1137,1,400,0.04
1138,1,400,0.04
1139,6,2400,0.24
1140,1,400,0.04
1141,1,400,0.04
1142,5,2000,0.2
1143,1,400,0.04
1144,2,800,0.08
1145,1,400,0.04
1146,1,400,0.04
1147,1,400,0.04
1148,1,400,0.04
1149,1,400,0.04
1150,1,400,0.04
1151,1,400,0.04
1152,5,2000,0.2
1153,1,400,0.04
1154,1,400,0.04
1155,1,400,0.04
1156,1,400,0.04
1157,1,400,0.04
1158,1,400,0.04
1159,6,2400,0.24
1160,1,400,0.04
1161,1,400,0.04
1162,1,400,0.04
1163,2,800,0.08
1164,1,400,0.04
1165,1,400,0.04
1166,1,400,0.04
1167,1,400,0.04
1168,1,400,0.04
1169,1,400,0.04
1170,2,800,0.08
1171,1,400,0.04
1172,1,400,0.04
1173,2,800,0.08
1174,1,400,0.04
1175,1,400,0.04
1176,9,3600,0.36
1177,1,400,0.04
1178,1,400,0.04
1179,1,400,0.04
1180,3,1200,0.12
1181,15,6000,0.6
1182,1,400,0.04
1183,1,400,0.04
1184,1,400,0.04
1185,2,800,0.08
1186,3,1200,0.12
1187,2,800,0.08
1188,1,400,0.04
1189,1,400,0.04
1190,1,400,0.04
1191,2,800,0.08
1192,12,4800,0.48
1193,5,2000,0.2
1194,1,400,0.04
1195,2,800,0.08
1196,1,400,0.04
1197,4,1600,0.16
1198,7,2800,0.28
1199,2,800,0.08
1200,5,2000,0.2
1201,1,400,0.04
1202,1,400,0.04
1203,5,2000,0.2
1204,1,400,0.04
1205,1,400,0.04
1206,1,400,0.04
1207,1,400,0.04
1208,1,400,0.04
1209,1,400,0.04
1210,1,400,0.04
1211,8,3200,0.32
1212,1,400,0.04
1213,1,400,0.04
1214,2,800,0.08
1215,1,400,0.04
1216,1,400,0.04
1217,1,400,0.04
1218,1,400,0.04
1219,1,400,0.04
1220,2,800,0.08
1221,2,800,0.08
1222,2,800,0.08
1223,1,400,0.04
1224,1,400,0.04
1225,1,400,0.04
1226,1,400,0.04
1227,1,400,0.04
1228,2,800,0.08
1229,1,400,0.04
1230,364,145600,14.56
1231,9,3600,0.36
1232,9,3600,0.36
1233,1,400,0.04
1234,1,400,0.04
1235,1,400,0.04
1236,1,400,0.04
1237,1,400,0.04
1238,1,400,0.04
1239,1,400,0.04
1240,1,400,0.04
1241,2,800,0.08
1242,1,400,0.04
1243,2,800,0.08
1244,1,400,0.04
1245,1,400,0.04
1246,2,800,0.08
1247,1,400,0.04
1248,8,3200,0.32
1249,3,1200,0.12
1250,1,400,0.04
1251,1,400,0.04
1252,1,400,0.04
1253,1,400,0.04
1254,1,400,0.04
1255,1,400,0.04
1256,5,2000,0.2
1257,3,1200,0.12
1258,2,800,0.08
1259,4,1600,0.16
1260,1,400,0.04
1261,1,400,0.04
1262,1,400,0.04
1263,2,800,0.08
1264,2,800,0.08
1265,2,800,0.08
1266,1,400,0.04
1267,1,400,0.04
1268,4,1600,0.16
1269,1,400,0.04
1270,1,400,0.04
1271,5,2000,0.2
1272,1,400,0.04
1273,2,800,0.08
1274,2,800,0.08
1275,1,400,0.04
1276,1,400,0.04
1277,1,400,0.04
1278,2,800,0.08
1279,15,6000,0.6
1280,1,400,0.04
1281,12,4800,0.48
1282,6,2400,0.24
1283,8,3200,0.32
1284,1,400,0.04
1285,2,800,0.08
1286,1,400,0.04
1287,1,400,0.04
1288,2,800,0.08
1289,1,400,0.04
1290,1,400,0.04
1291,1,400,0.04
1292,1,400,0.04
1293,1,400,0.04
1294,7,2800,0.28
1295,1,400,0.04
1296,1,400,0.04
1297,5,2000,0.2
1298,2,800,0.08
1299,1,400,0.04
1300,11,4400,0.44
1301,34,13600,1.36
1302,1,400,0.04
1303,1,400,0.04
1304,1,400,0.04
1305,1,400,0.04
1306,1,400,0.04
1307,1,400,0.04
1308,5,2000,0.2
1309,1,400,0.04
1310,4,1600,0.16
1311,2,800,0.08
1312,1,400,0.04
1313,8,3200,0.32
1314,26,10400,1.04
1315,2,800,0.08
1316,1,400,0.04
1317,1,400,0.04
1318,1,400,0.04
1319,1,400,0.04
1320,1,400,0.04
1321,3,1200,0.12
1322,1,400,0.04
1323,1,400,0.04
