scenario;zone_id;pixel_count;area_m2;area_ha;input_file;salinity_min;salinity_max;salinity_mean;salinity_median;depth_min;depth_max;depth_mean;depth_median;temperature_min;temperature_max;temperature_mean;temperature_median;sedimentation_min;sedimentation_max;sedimentation_mean;sedimentation_median
check4factor;74;63;25200;2.52;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;5.014;6.464;5.773;5.717;29.073;29.073;29.073;29.073;13.171;13.171;13.171;13.171
check4factor;75;91;36400;3.64;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;4.921;7.556;6.279;6.338;29.073;29.073;29.073;29.073;8.117;8.117;8.117;8.117
check4factor;76;367;146800;14.68;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;5.088;7.769;6.369;6.38;29.073;29.073;29.073;29.073;8.117;8.117;8.117;8.117
check4factor;77;95;38000;3.8;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;5.038;6.937;6.044;6.078;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
check4factor;78;332;132800;13.28;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;5.042;6.754;5.897;5.951;29.073;29.073;29.073;29.073;8.117;8.117;8.117;8.117
check4factor;79;100;40000;4.0;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;5.418;7.228;5.984;5.907;29.073;29.073;29.073;29.073;8.117;8.117;8.117;8.117
check4factor;80;52;20800;2.08;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;5.855;7.992;6.925;7.111;29.073;29.073;29.073;29.073;8.214;8.214;8.214;8.214
check4factor;81;468;187200;18.72;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;5.436;7.96;6.557;6.467;29.073;29.073;29.073;29.073;8.214;8.214;8.214;8.214
check4factor;82;115;46000;4.6;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;5.513;7.961;6.832;6.807;29.073;29.073;29.073;29.073;8.214;8.214;8.214;8.214
check4factor;83;216;86400;8.64;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;6.178;7.879;6.85;6.776;29.073;29.073;29.073;29.073;8.214;8.214;8.214;8.214
check4factor;84;74;29600;2.96;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;6.212;7.627;7.219;7.234;29.073;29.073;29.073;29.073;8.214;8.214;8.214;8.214
check4factor;85;399;159600;15.96;factor_suitability_2025_Depth_10m_2025_highest.tif;32.874;32.874;32.874;32.874;6.123;7.198;6.605;6.596;28.936;28.936;28.936;28.936;13.455;13.455;13.455;13.455
check4factor;86;77;30800;3.08;factor_suitability_2025_Depth_10m_2025_highest.tif;32.874;32.874;32.874;32.874;5.131;6.996;6.268;6.452;28.936;28.936;28.936;28.936;7.981;7.981;7.981;7.981
check4factor;87;110;44000;4.4;factor_suitability_2025_Depth_10m_2025_highest.tif;32.874;32.874;32.874;32.874;5.652;7.761;6.993;7.091;28.936;28.936;28.936;28.936;7.981;7.981;7.981;7.981
check4factor;88;88;35200;3.52;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;6.552;8.0;7.372;7.401;29.073;29.073;29.073;29.073;5.919;5.919;5.919;5.919
check4factor;89;198;79200;7.92;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;6.804;7.996;7.659;7.686;29.073;29.073;29.073;29.073;5.919;5.919;5.919;5.919
check4factor;90;64;25600;2.56;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;7.066;7.998;7.509;7.488;29.073;29.073;29.073;29.073;5.919;5.919;5.919;5.919
check4factor;91;906;362400;36.24;factor_suitability_2025_Depth_10m_2025_highest.tif;32.874;32.874;32.874;32.874;4.776;7.917;6.216;6.177;28.936;28.936;28.936;28.936;7.981;12.332;11.232;12.332
check4factor;92;90;36000;3.6;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;7.162;7.997;7.71;7.803;29.073;29.073;29.073;29.073;5.919;5.919;5.919;5.919
check4factor;93;74;29600;2.96;factor_suitability_2025_Depth_10m_2025_highest.tif;32.874;32.874;32.874;32.874;6.346;7.838;7.02;7.04;28.936;28.936;28.936;28.936;12.332;12.332;12.332;12.332
check4factor;94;59;23600;2.36;factor_suitability_2025_Depth_10m_2025_highest.tif;32.874;32.874;32.874;32.874;6.606;7.818;7.239;7.243;28.936;28.936;28.936;28.936;7.981;7.981;7.981;7.981
check4factor;95;319;127600;12.76;factor_suitability_2025_Depth_10m_2025_highest.tif;32.874;32.874;32.874;32.874;5.975;7.978;7.191;7.288;28.936;28.936;28.936;28.936;7.981;7.981;7.981;7.981
check4factor;96;930;372000;37.2;factor_suitability_2025_Depth_10m_2025_highest.tif;32.874;32.874;32.874;32.874;5.949;8.0;7.24;7.249;28.936;28.936;28.936;28.936;7.981;12.332;8.585;7.981
check4factor;97;87;34800;3.48;factor_suitability_2025_Depth_10m_2025_highest.tif;32.874;32.874;32.874;32.874;6.754;7.993;7.589;7.791;28.936;28.936;28.936;28.936;7.981;7.981;7.981;7.981
check4factor;98;86;34400;3.44;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;7.096;7.999;7.75;7.797;29.073;29.073;29.073;29.073;5.919;5.919;5.919;5.919
check4factor;99;80;32000;3.2;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;7.155;7.956;7.708;7.714;29.073;29.073;29.073;29.073;5.919;5.919;5.919;5.919
check4factor;100;29788;11915200;1191.52;factor_suitability_2025_Depth_10m_2025_highest.tif;32.874;32.876;32.876;32.876;4.675;8.0;7.304;7.306;28.936;29.015;29.01;29.015;5.805;12.332;7.729;7.503
check4factor;101;347;138800;13.88;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;6.865;8.0;7.625;7.65;29.073;29.073;29.073;29.073;5.919;5.919;5.919;5.919
check4factor;102;69;27600;2.76;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;6.773;7.708;7.25;7.233;29.015;29.015;29.015;29.015;7.503;7.503;7.503;7.503
check4factor;103;578;231200;23.12;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;5.098;7.935;7.104;7.18;29.015;29.015;29.015;29.015;7.503;10.973;9.778;10.973
check4factor;104;104;41600;4.16;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;6.861;7.94;7.398;7.433;29.015;29.015;29.015;29.015;7.503;7.503;7.503;7.503
check4factor;105;1785;714000;71.4;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;6.245;7.993;7.249;7.243;29.015;29.015;29.015;29.015;7.503;10.973;10.596;10.973
check4factor;106;122;48800;4.88;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;6.3;7.987;7.302;7.309;29.015;29.015;29.015;29.015;7.503;7.503;7.503;7.503
check4factor;107;262;104800;10.48;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;6.408;7.884;7.206;7.163;29.015;29.015;29.015;29.015;10.973;10.973;10.973;10.973
check4factor;108;53;21200;2.12;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;6.569;7.861;7.368;7.413;29.015;29.015;29.015;29.015;10.973;10.973;10.973;10.973
check4factor;109;64;25600;2.56;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;6.771;7.823;7.35;7.392;29.015;29.015;29.015;29.015;10.973;10.973;10.973;10.973
check4factor;110;2079;831600;83.16;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;6.127;7.996;7.19;7.176;29.015;29.015;29.015;29.015;6.863;7.503;6.946;6.863
check4factor;111;239;95600;9.56;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;6.343;7.816;6.925;6.876;29.015;29.015;29.015;29.015;8.86;10.973;9.62;8.86
check4factor;112;182;72800;7.28;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;6.009;7.775;6.754;6.735;29.015;29.015;29.015;29.015;8.86;10.973;9.998;10.973
check4factor;113;143;57200;5.72;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;6.087;7.95;7.226;7.327;29.015;29.015;29.015;29.015;8.86;8.86;8.86;8.86
check4factor;114;68;27200;2.72;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;6.403;7.924;7.049;7.004;29.015;29.015;29.015;29.015;8.86;8.86;8.86;8.86
check4factor;115;161;64400;6.44;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;6.306;7.983;7.41;7.434;29.015;29.015;29.015;29.015;6.863;8.86;8.761;8.86
check4factor;116;93;37200;3.72;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;6.014;7.992;7.155;7.077;29.015;29.015;29.015;29.015;8.86;8.86;8.86;8.86
check4factor;117;52;20800;2.08;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;6.234;7.99;7.13;7.169;29.015;29.015;29.015;29.015;8.86;8.86;8.86;8.86
check4factor;118;104;41600;4.16;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;6.644;7.981;7.429;7.472;29.015;29.015;29.015;29.015;8.86;8.86;8.86;8.86
check4factor;119;209;83600;8.36;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;5.774;7.77;6.672;6.607;29.015;29.015;29.015;29.015;8.86;8.86;8.86;8.86
check4factor;120;675;270000;27.0;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;6.387;7.976;7.394;7.382;29.015;29.015;29.015;29.015;8.86;8.86;8.86;8.86
check4factor;121;72;28800;2.88;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;6.813;7.982;7.385;7.32;29.015;29.015;29.015;29.015;6.863;6.863;6.863;6.863
check4factor;122;102;40800;4.08;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;6.024;7.705;6.896;6.916;29.015;29.015;29.015;29.015;8.86;8.86;8.86;8.86
check4factor;123;136;54400;5.44;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;5.419;7.336;6.508;6.59;29.015;29.015;29.015;29.015;8.86;8.86;8.86;8.86
check4factor;124;114;45600;4.56;factor_suitability_2025_Depth_10m_2025_highest.tif;32.876;32.876;32.876;32.876;6.246;7.901;7.297;7.292;29.015;29.015;29.015;29.015;6.863;6.863;6.863;6.863
